Title,Code,Rating,Rating Count
Code Geass,tt0994314,8.6,"72,928"
The Bridge,tt1733785,8.6,"72,429"
Blackadder II,tt0088484,8.6,"48,004"
Monster,tt0434706,8.6,"35,862"
Daredevil,tt3322312,8.6,"453,674"
Ramayan,tt0268093,8.6,"21,685"
It's a Sin,tt9140342,8.6,"33,932"
Lonesome Dove,tt0096639,8.6,"24,222"
Demon Slayer: Kimetsu no Yaiba,tt9335498,8.6,"120,835"
Yeh Meri Family,tt8595766,8.6,"24,582"
Adventure Time,tt1305826,8.6,"101,559"
The Return of Sherlock Holmes,tt0090509,8.6,"12,730"
Archer,tt1486217,8.6,"159,369"
Mindhunter,tt5290382,8.5,"306,504"
Gomorrah,tt2049116,8.5,"41,815"
Mystery Science Theater 3000,tt0094517,8.5,"25,175"
Blackadder the Third,tt0092324,8.5,"45,440"
The Offer,tt13111040,8.5,"32,920"
Young Justice,tt1641384,8.5,"43,172"
Yellowstone,tt4236770,8.5,"178,538"
Haikyu!!,tt3398540,8.5,"29,267"
Mr. Bean,tt0096657,8.5,"125,380"
Anne with an E,tt5421602,8.5,"59,607"
Dopesick,tt9174558,8.5,"64,297"
Poirot,tt0094525,8.5,"48,202"
QI,tt0380136,8.5,"32,678"
Yes Minister,tt0080306,8.5,"15,580"
Heartstopper,tt10638036,8.5,"59,504"
Pose,tt7562112,8.5,"30,751"
Justified,tt1489428,8.5,"105,622"
Boardwalk Empire,tt0979432,8.5,"195,202"
Crash Landing on You,tt10850932,8.5,"33,757"
The Newsroom,tt1870479,8.5,"119,522"
Making a Murderer,tt5189670,8.5,"98,938"
The Bugs Bunny Show,tt0053488,8.5,"34,664"
The Haunting of Hill House,tt6763664,8.5,"258,916"
The Queen's Gambit,tt10048342,8.5,"491,041"
Justice League,tt0275137,8.5,"48,624"
The Eric Andre Show,tt2244495,8.5,"20,134"
El Chavo del Ocho,tt0229889,8.5,"11,274"
Homicide: Life on the Street,tt0106028,8.5,"13,371"
Dragon Ball,tt0088509,8.5,"61,021"
Flight of the Conchords,tt0863046,8.5,"63,498"
Dragon Ball,tt0280249,8.5,"62,056"
The Venture Bros.,tt0417373,8.5,"26,808"
The Bureau,tt4063800,8.5,"12,743"
Battlestar Galactica,tt0314979,8.5,"77,756"
Coupling,tt0237123,8.5,"46,530"
Impractical Jokers,tt2100976,8.5,"42,834"
Black Sun,tt6108262,8.5,"11,849"
Spaced,tt0187664,8.5,"55,967"
What We Do in the Shadows,tt7908628,8.5,"84,752"
Formula 1: Drive to Survive,tt8289930,8.5,"45,539"
Long Way Round,tt0403778,8.5,"14,642"
"Yes, Prime Minister",tt0086831,8.5,"12,143"
Samurai Champloo,tt0423731,8.5,"51,637"
The Family Man,tt9544034,8.5,"91,177"
The IT Crowd,tt0487831,8.5,"158,025"
Mr. Robot,tt4158110,8.5,"399,138"
I'm Alan Partridge,tt0129690,8.5,"21,185"
Louie,tt1492966,8.5,"80,395"
Whose Line Is It Anyway?,tt0163507,8.5,"44,864"
The Office,tt0290978,8.5,"117,313"
Through the Wormhole,tt1513168,8.5,"18,064"
Ezel,tt1534360,8.5,"34,562"
Mr Inbetween,tt7472896,8.5,"22,460"
The Rehearsal,tt10802170,8.5,"21,831"
Mob Psycho 100,tt5897304,8.5,"37,981"
Samurai Jack,tt0278238,8.5,"56,147"
Spartacus,tt1442449,8.5,"247,875"
Endeavour,tt2701582,8.5,"29,525"
Letterkenny,tt4647692,8.5,"25,797"
Detectorists,tt4082744,8.5,"17,493"
Shameless,tt1586680,8.5,"255,680"
Sons of Anarchy,tt1124373,8.5,"307,362"
Neon Genesis Evangelion,tt0112159,8.5,"75,896"
Extraordinary Attorney Woo,tt20869502,8.5,"19,810"
Rocket Boys,tt13868972,8.5,"15,784"
Brass Eye,tt0118273,8.5,"11,117"
Trailer Park Boys,tt0290988,8.5,"46,916"
North &amp; South,tt0417349,8.5,"33,607"
Skam,tt5288312,8.5,"36,188"
Twin Peaks,tt4093826,8.5,"70,992"
Doctor Who,tt0436992,8.5,"231,636"
Spartacus: Gods of the Arena,tt1758429,8.5,"141,089"
Westworld,tt0475784,8.5,"516,114"
Fullmetal Alchemist,tt0421357,8.5,"73,656"
Silicon Valley,tt2575988,8.5,"156,868"
Futurama,tt0149460,8.5,"246,335"
Happy Valley,tt3428912,8.5,"55,489"
Rurouni Kenshin: Trust and Betrayal,tt0203082,8.5,"15,419"
From the Earth to the Moon,tt0120570,8.5,"12,653"
Schitt's Creek,tt3526078,8.4,"130,316"
Umbre,tt4269716,8.4,"10,846"
Hannibal,tt2243973,8.4,"262,439"
Regular Show,tt1710308,8.4,"50,386"
The Expanse,tt3230854,8.4,"161,143"
Community,tt1439629,8.4,"277,073"
Jujutsu Kaisen,tt12343534,8.4,"72,820"
Wentworth,tt2433738,8.4,"23,213"
Chef's Table,tt4295140,8.4,"16,223"
My Brilliant Friend,tt7278862,8.4,"16,342"
